"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2969c12f-b90a-5eec-a836-5d63a70f9d3b","","","Project Details","checklist","FALSE","FALSE","Project Details"
"6d506d64-3a3f-499a-b827-4fc9eba80496","","","","folder-progress","TRUE","FALSE","QA - Mechanical  Inspections"
"d664e2be-31c5-4c8d-99eb-caa09ab934ce","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL20 - Check Sheet"
"5826f2c8-e7e6-5531-b8d7-61e64251375d","","","Combined Services Trench ( Excavation, Backfilling, and Compaction)","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL20 - Check Sheet","Combined Services Trench  - ( Excavation, Backfilling, and Compaction) - 100%"
"9ae56e26-35e1-4f7d-adbf-28ec193869ba","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL20 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"83ae3ce6-b014-49c7-b11d-df439ec260e5","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL21 - Check Sheet"
"f88a1e33-cee2-5ede-bdee-5b5ff6e78bdb","","","Combined Services Trench ( Excavation, Backfilling, and Compaction)","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL21 - Check Sheet","Combined Services Trench #1 ( Excavation, Backfilling, and Compaction) - 100%"
"0ca355a4-750d-4070-b6f5-8f924e0ef91a","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL21 - Check Sheet","EL21 - Check Sheet"
"794ebbfa-e354-5b49-bada-f5e23e28b3f6","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL21 - Check Sheet","EL21 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"dd5a8d2f-1cee-499e-940c-a4bc9fdd345c","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL21 - Check Sheet","EL21 #2 - Check Sheet"
"176d3653-e40d-5fe9-b0f9-9c4425c116a4","","","Combined Services Trench ( Excavation, Backfilling, and Compaction)","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL21 - Check Sheet","EL21 #2 - Check Sheet","Combined Services Trench - ( Excavation, Backfilling, and Compaction) - 100%"
"eec965ee-85c5-48ba-88ae-686563128a6e","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL22 - Check Sheet "
"b56f73b0-e43e-4d29-bed5-3d0ee87e37d2","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL22 - Check Sheet ","EL22B #1 - 100%"
"49a83cae-c982-50dc-9b8d-635e147079c8","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL22 - Check Sheet ","EL22B #1 - 100%","Electrical In-Ground Conduits & Cable Pits Checksheet #1 - 100%"
"47609e84-64cd-5441-8113-336a5e278fdd","","","Combined Services Trench ( Excavation, Backfilling, and Compaction)","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL22 - Check Sheet ","EL22B #1 - 100%","Combined Services Trench  - ( Excavation, Backfilling, and Compaction) - 100%"
"3cffb0c5-31cd-4915-97ef-7635c6729006","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL22 - Check Sheet ","EL22B #2 - 100%"
"384acb57-3f26-5009-beb6-b84af6af7606","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL22 - Check Sheet ","EL22B #2 - 100%","Electrical In-Ground Conduits & Cable Pits #2 - 100%"
"0a28219c-39f3-567f-82d7-c252e8461702","","","Combined Services Trench ( Excavation, Backfilling, and Compaction)","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL22 - Check Sheet ","EL22B #2 - 100%","Combined Services Trench  - ( Excavation, Backfilling, and Compaction) - 100%"
"1c350dbb-c97d-4483-b7b4-e551d1b30e35","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL22 - Check Sheet ","EL22B#3 - Mike's attention required"
"d7d96a32-1013-51e4-8f37-8e241521ef97","","","Combined Services Trench ( Excavation, Backfilling, and Compaction)","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL22 - Check Sheet ","EL22B#3 - Mike's attention required","Combined Services Trench - ( Excavation, Backfilling, and Compaction) - Mike's attention required"
"06660ec6-8ad5-56f9-923b-27f98a545dd1","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL22 - Check Sheet ","EL22B#3 - Mike's attention required","Electrical In-Ground Conduits & Cable Pits Checksheet - 100% Complete"
"af14e14b-afd9-4150-95ca-668f4b95b53b","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL22 - Check Sheet ","Electrical In-Ground Conduits & Cable Pits"
"e0159102-f4cc-40a0-899a-6c01628c3a17","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL23 - Check Sheet "
"d3aae77a-9345-5e57-ad98-3b3aa086b6b6","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL23 - Check Sheet ","Electrical In-Ground Conduits & Cable Pits"
"ba7ee674-7275-4d03-a694-4eb8c1aac6e4","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL29 - Check Sheet"
"8dda18a9-5952-54fc-94ce-4800630a3a62","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL29 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"e2288920-b95a-4c90-95c4-6ced9772bffd","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL31 - Check Sheet"
"4bbbe7b3-8295-5cfd-8f93-8c15f686dd1a","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL31 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"da93c91f-b10f-43ab-b24a-3e78d6207aba","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL32 - Check Sheet"
"acafe1d9-7ebf-5097-baac-458aa18d4fea","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL32 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"f799aefb-3737-4148-8bde-d5c4e9ab2253","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL33 - Check Sheet "
"f440175e-edfe-5b43-a249-23de8fa2b70b","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL33 - Check Sheet ","Electrical In-Ground Conduits & Cable Pits"
"6637c39e-d0fa-4bcc-9f15-227c140e080c","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL34 - Check Sheet"
"fde7addb-235f-53a2-9f9b-b624c8dabf8b","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL34 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"d697a3c4-d4ae-4a09-a864-77eae6f9369b","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL35 - Check Sheet"
"2ce5d50e-d340-581e-8337-13d5a31df4a3","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL35 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"7d526740-7644-43f6-b5ab-12918ed6c0d2","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL37 - Check Sheet"
"2463c9fa-cc01-5d13-bdb8-6227a0403d4f","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL37 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"f1cef6b7-0843-4406-8e4e-dce101a76008","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL38 - Check Sheet"
"570a855b-5c3f-5273-b59a-28001ec2b4f1","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL38 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"f0fd0ecc-73c7-4f67-9113-92ecb76baab6","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL39 - Check Sheet"
"7312b81b-832e-5808-a912-6e5f9fdb91bf","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL39 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"2858b05c-3f0a-4826-a5d0-cfd82133ca06","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL40 - Check Sheet"
"276f2759-06ed-5954-b9d1-e1a1a1e0daff","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL40 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"df797947-27ff-4708-9a4d-a82a28486df9","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL41 - Check Sheet "
"495ac2cf-2f3c-442f-ac52-a6dc21457dc7","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL41 - Check Sheet ","Electrical In-Ground Conduits & Cable Pits"
"6144a3a4-687a-4daf-a71a-cdba69196a6f","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL42 - Check Sheet "
"fe302b39-587e-567a-ae9a-7e043ae0090e","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL42 - Check Sheet ","Electrical In-Ground Conduits & Cable Pits"
"737ad2c3-ea74-463e-94cd-d698bdaed44c","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL43 - Check Sheet"
"9ce818dd-f35f-514b-ab6c-66b24f3d5ba7","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL43 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"77975e42-1b60-4563-8922-9685226980a6","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL44 - Check Sheet"
"3b468b35-6430-5f55-a8b3-30fa4ec7db0d","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL44 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"96784cb3-7fba-41e8-99a8-7528fbcbfd97","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL45 - Check Sheet "
"ae0ecd5b-1628-4a90-bea3-b79a29489000","","","Communications In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL45 - Check Sheet ","Electrical In-Ground Conduits & Cable Pits "
"0fb0631b-8fc3-438f-b037-a00f3696ce18","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL46 - Check Sheet"
"be635262-2b03-572e-9017-83072d9c7ffa","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL46 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"5b507d44-01aa-475a-99ce-997489a96345","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL47 - Check Sheet "
"e7096dd8-1de4-55e4-9f59-1fa7184d159c","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL47 - Check Sheet ","Electrical In-Ground Conduits & Cable Pits"
"706b34f1-c4c4-4acb-8779-7180fcd0437e","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL48 - Check Sheet"
"327c3d1b-5bf6-5a98-87e0-d1a282ef68f4","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL48 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"a46e3cb1-33fa-4f96-b542-a5b28fce39c4","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL49 - Check Sheet"
"0d69a9a0-0159-58cd-a9ca-cebbd9ae2a92","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL49 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"e094767f-3330-43ca-836c-5736b3db551d","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL50 - Check Sheet"
"09733964-6e11-407e-9d4a-a45f9081f455","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL50 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"7effa36b-65e4-4ca0-8cbf-76ea7e78831e","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL51 - Check Sheet"
"abff02c8-4f4a-480d-b97a-07765f39db65","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL51 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"f40a8ca9-5924-4cca-8aa5-1142da061d6c","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL52 - Check Sheet"
"6d8fda35-d9b2-4e6a-ae6c-be338ac51001","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL52 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"f0768230-e541-447c-aaf9-e1d3568fd488","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL53 - Check Sheet"
"66fbc77e-c2b3-4c29-bd7c-db3cab510048","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL53 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"1c25b1bb-232c-4424-aa66-9fa2a491ceee","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL54 - Check Sheet"
"75d19de4-389c-464d-9d3a-937da6f8cb71","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL54 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"338c899e-5348-4874-9004-946049e4fbce","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL55 - Check Sheet "
"727cf0b8-553e-4ef0-b4a1-0b3b34094081","","","Communications In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL55 - Check Sheet ","Electrical In-Ground Conduits & Cable Pits"
"4d619b2d-14f4-45ca-862e-fc716687df3a","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL56 - Check Sheet"
"3a04f498-a081-4ad2-8519-02c86060f266","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL56 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"6f1f8213-51e2-465a-bec8-e5afb7a5c975","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL57 - Check Sheet"
"08f51c6d-57c7-4c69-8a91-20303d13a245","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL57 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"1c225d64-f2e1-477f-915d-f7f861e79fb6","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL58 - Check Sheet"
"61eddeec-1c77-4436-ad3a-8209168c11bd","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL58 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"b462c6ae-e3ec-4a24-b556-3ff35801c50b","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL59 - Check Sheet"
"1156aa9f-9189-48f6-8fed-621987dfb760","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL59 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"088ca38b-be7c-422d-a52d-9e4bb93afb4e","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL60 - Check Sheet"
"8de64740-1823-445d-aa83-872298733c74","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL60 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"8f79638a-5ef8-451e-a49b-d8e31a8d51ef","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL61 - Check Sheet"
"2ed81397-7503-4e3b-87b6-58378691b624","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL61 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"c99a26ce-eb0f-4d4c-9eb0-e8d48b6cf996","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL62 - Check Sheet"
"831a0692-238c-4777-877a-eada14729a6b","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL62 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"317f68a5-6301-4a63-bdcb-decad450f461","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL63 - Check Sheet "
"28fcf3c2-cc4d-4d3c-b0b7-73888aefd981","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL63 - Check Sheet ","Electrical In-Ground Conduits & Cable Pits "
"846870f0-b601-4659-aaa7-730da460a20b","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL64 - Check Sheet"
"d2abd2ae-07c5-4061-b5e6-f41129eb1432","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL64 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"44ceeac9-46e4-43a6-a854-c22fd4afc68e","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL65 - Check Sheet "
"e4aa430f-a901-4fef-b6d1-92331964822c","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL65 - Check Sheet ","Electrical In-Ground Conduits & Cable Pits "
"6c4144d3-3a07-416e-aa94-d8ff2165a967","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL66 - Check Sheet"
"62214461-4ea0-4cd1-bf10-113b7310e420","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL66 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"9011d7ff-4236-4908-bd3a-e2eae95aa6ad","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL67 - Check Sheet"
"52f1cf82-0bee-402a-9b17-ae7e5f24a1b6","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL67 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"68ace593-c0fb-4ec2-ad3f-6e3928abe2f0","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL68 - Check Sheet"
"4e8e6ca7-7f7d-466e-a595-f615bc233021","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL68 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"aef7cc0a-6742-4c58-88fb-4e1ca9b63ce2","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL69 - Check Sheet"
"c2845f3e-1bfc-470b-9f76-a924135e06c6","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL69 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"554e07b9-3d4f-4f81-9c56-5b364c1f79e1","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL70 - Check Sheet"
"caa94a5d-9318-4eda-8cb1-22c6352cf0b8","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL70 - Check Sheet","Electrical In-Ground Conduits & Cable Pits "
"6bc39df9-a320-4a3b-80cd-4ad81780e06e","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL71 - Check Sheet"
"ae57890b-a50b-4186-bfac-ba07ad6dd7d1","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL71 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"340f8edd-8317-49c5-a562-97e321dcb50f","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL FM3 - Check Sheet"
"cf1d24ec-8dd0-4576-8269-f46ad2bedb39","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL FM3 - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"94463814-897d-4489-a569-1a944c387383","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL LAU - Check Sheet"
"6d49201f-bc84-4000-9fc2-9160f75344e5","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL LAU - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"776705d6-9506-446c-b115-e0acb7a9c6c9","","","","folder","TRUE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL23B - Check Sheet"
"f3520ba9-9eb7-4a38-9c62-92ed402d93f9","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","EL23B - Check Sheet","Electrical In-Ground Conduits & Cable Pits"
"3876acea-8308-473f-be29-2f0cead5d765","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","Pit # 03 Trafficable Pit Upgrade"
"bf0ed320-05d4-48a6-885f-95e848618c2e","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","Pit # 20 Trafficable Pit Upgrade"
"439e2b42-f23f-4421-a749-7992f464d7e6","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","Pit # 34 Trafficable Pit Upgrade"
"5dc4fbfc-ba1b-4052-9474-a9972c5c072e","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","Pit # 39 Trafficable Pit Upgrade"
"b4377bf6-a5bd-4366-86d5-12027827a546","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","Pit # 62 Trafficable Pit Upgrade"
"b6d2b00d-b179-4bd1-b8f5-c4693bb0efc6","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","Pit # 68 Trafficable Pit Upgrade"
"dc49cce3-6dbf-4aab-a1dc-5c17720e514f","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","Pit # 98 Trafficable Pit Upgrade"
"e95b8bd3-d8b2-47f8-9045-dd18135ed168","","","Electrical In-Ground Conduits & Cable Pits","checklist","FALSE","FALSE","QA - Electrical Inspections ","Combined Services In-ground Conduits","Electrical Works","Pit # 112 Trafficable Pit Upgrade"
