"","data:Lot Created On","data:Lot Opened On","data:Work Commenced On","data:Work Completed On","data:Work Completed On","data:Lot Type","data:From and To Chainage","data:Construction Element","data:Activity","data:Design Package No","data:Traffic Direction","data:Engineer Responsible","data:comments","data:Print Name:","data:Date:","data:Lot verified By","data:Is the relevant NCR attached to the Lot?","data:Lot Status","data:Lot Closed On"
"ITP-011-A1-LOT-017 -Z3.1 Bridgewater to Gate 3.1- CH15040 to CH15080 - WB - CTCC","","","03/03/2023","",,"","","","","","","","","","","","","",""
"ITP-011-A1-LOT-018 - Craigieburn Road Eastbound - CH15900 to CH15990","01/02/2023","01/02/2023","01/02/2023","02/02/2023",," EAL- Earthworks Lot","C15900 - CH15990","EART - Earthworks","EART - Cement Treated Crushed Rock"," 1145-ACM-CVP-DPK-0001","EB - Eastbound","Philip Klenkowski","","Philip Klenkowski","20/02/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","24/03/2023"
"ITP-011-A1-LOT-019 - Craigieburn Rd Westbound CH16020 to CH16080","08/02/2023","08/02/2023","08/02/2023","08/02/2023",," EAL- Earthworks Lot","CH16015 to CH16080","EART - Earthworks","EART - Cement Treated Crushed Rock"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Philip Klenkowski","","Philip Klenkowski","20/02/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","14/03/2023"
"ITP-011-A1-LOT-020 - Zone 4 Golf Course - CH13600 - CH14000","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-011-A1-LOT-021 - Zone 3.1E Craigieburn Rd Westbound - CH15121 to CH15195","28/04/23","28/04/23","28/04/23","",,"CIL-Civil Lot","CH15121 to CH15216","EART - Earthworks","EART - Cement Treated Crushed Rock","","","Abdullah Abdullah","","","","","","",""
"ITP-011-A1-LOT-022 - Zone 3.1E Craigieburn Rd Westbound - CH15195 to CH15216","1/05/23","1/05/23","1/05/23","",,"","15195 to 15216","EART - Earthworks","EART - Cement Treated Crushed Rock",""," WB - Westbound","Abdullah Abdullah","","","","","","",""
"ITP-011-A1-LOT-023 - Zone 4 Golf Course - CH14000 - CH14240","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-011-A1-LOT-024 - Zone 4 Golf Course - CH14240 - CH14360","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-011-A1-LOT-025 - Zone 4 West - CH13600 - CH13550","","","","",,"","","","","","","","","","","","","",""
"ITP-011-A1-LOT-026 - Zone 4 West - CH13550 - CH13440","","","","",,"","","","","","","","","","","","","",""
"ITP-012 - Kerb and Channel",,,,,,,,,,,,,,,,,,,
"ITP-012-A1-LOT-001 - Hume Hwy North (CH70450 - CH70315)","20/07/2022","20/07/2022","21/07/2022","21/07/2022",," STL- Structural Lot","70500 - 70310","STOR Ð Stormwater","KERC - Kerb & Channel",""," ME - Median","James Moran","Kerb - Nth Bound and Sth Bound","Philip Klenkowski","11/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","28/10/2022"
"ITP-012-A1-LOT-002 - Hume Hwy South","28/07/2022","21/07/2022","21/07/2022","21/07/2022",,"CIL-Civil Lot","70110 - 70205","STOR Ð Stormwater","KERC - Kerb & Channel",""," NB - Northbound","James Moran","","James Moran","17/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","28/10/2022"
"ITP-012-A1-LOT-003 - Hume Hwy North(CH 70450 - CH 70480)","1/08/2022","1/08/2022","1/08/2022","1/08/2022",,"CIL-Civil Lot","CH 70450 - 70480","STOR Ð Stormwater","KERC - Kerb & Channel",""," SB - Southbound","James Moran","","Philip Klenkowski","11/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","25/11/2022"
"ITP-012-A1-LOT-004 - Hume Hwy South (Bullnose)","2/08/2022","2/8/2022","2/8/2022","2/08/2022",,"CIL-Civil Lot","CH70280","STOR Ð Stormwater","KERC - Kerb & Channel",""," ME - Median","James Moran","Hume Hwy Sth - Bullnose","Philip Klenkowski","05/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","25/11/2022"
"ITP-012-A1-LOT-005 - Bridgewater Road Northern Median - CH25090 - CH25100 ","17/01/2023","17/01/2023","17/01/2023","",,"CIL-Civil Lot","CH25090 - CH25100","STOR Ð Stormwater","KERC - Kerb & Channel"," 1145-ACM-CVD-DPK-0004"," NB - Northbound","Ahmad El Wazer","","","","","","",""
"ITP-012-A1-LOT-006 - Bridgewater Road Southern Median - CH25090 - CH25100","17/01/2023","17/01/2023","17/01/2023","",,"CIL-Civil Lot","CH25090 - CH25100","STOR Ð Stormwater","KERC - Kerb & Channel"," 1145-ACM-CVP-DPK-0001"," SB - Southbound","Ahmad El Wazer","","","","","","",""
"ITP-012-A1-LOT-007 - Bridgewater Road South East Corner - CH25105 - CH25120","20/01/2023","20/01/2023","20/01/2023","",,"CIL-Civil Lot","CH25105 - CH25120","STOR Ð Stormwater","KERC - Kerb & Channel"," 1145-ACM-CVP-DPK-0001","EB - Eastbound","Ahmad El Wazer","","","","","","",""
"ITP-012-A1-LOT-008 - Bridgewater Road SW Traffic Island - CH25080 - CH25085","20/01/2023","20/01/2023","20/01/2023","",,"CIL-Civil Lot","CH25080 - CH25085","STOR Ð Stormwater","KERC - Kerb & Channel"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Ahmad El Wazer","","","","","","",""
"ITP-012-A1-LOT-009 - Memorial Park - Craigieburn Rd Eastbound CH26140 to CH26300","24/01/2023","24/01/2023","24/01/2023","25/01/2023",,"CIL-Civil Lot","CH26140 TO CH26300","STOR Ð Stormwater","KERC - Kerb & Channel","","EB - Eastbound","Mohammad Memari","","Mohammad Memari","27/03/2023",""," N/A","",""
"ITP-012-A1-LOT-010 - Memorial Park - Craigieburn Rd Westbound CH16150 to CH16270","23/01/2023","23/01/2023","23/01/2023","23.01.2023",," DRL- Drainage Lot","CH16150 TO CH16270","STOR Ð Stormwater","KERC - Kerb & Channel",""," WB - Westbound","Mohammad Memari","","Mohammad Memari","27.03.2023","","","",""
"ITP-012-A1-LOT-011 - Hume Hwy Northbound - CH70120 to CH70220","24/01/2023","24/01/2023","24/01/2023","",," DRL- Drainage Lot","CH70120 to CH70220","STOR Ð Stormwater","KERC - Kerb & Channel"," 1145-ACM-CVP-DPK-0002"," NB - Northbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","10/05/2023","","","",""
"ITP-012-A1-LOT-012 - Craigieburn Rd Eastbound - CH26000 to CH26160","30/01/2023","30/01/2023","30/01/2023","",," DRL- Drainage Lot","CH26000 to CH26160","STOR Ð Stormwater","KERC - Kerb & Channel"," 1145-ACM-CVP-DPK-0002","EB - Eastbound","Qassim Al-Montafjy","","","","","","",""
"ITP-012-A1-LOT-013 - Craigieburn Road Westbound - CH16140 to CH16180","01/02/2023","01/02/2023","01/02/2023","",," DRL- Drainage Lot","CH16140 to CH16180","STOR Ð Stormwater","KERC - Kerb & Channel"," 1145-ACM-CVP-DPK-0002","","Qassim Al-Montafjy","","","","","","",""
"ITP-012-A1-LOT-014 - Craigieburn Rd Eastbound and Westbound - CH26260 to CH26360","","","","",,"","","","","","","Qassim al-montafjy","","","","","","",""
"ITP-012-A1-LOT-015 - Zone 3.1 Westbound - CH14770 to CH15080","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-012-A1-LOT-016 - Zone 2 - Craigieburn Rd Westbound CH15950 to CH16020","06/04/2023","06/04/2023","06/04/2023","",," DRL- Drainage Lot","CH15950 to CH16020","STOR Ð Stormwater","KERC - Kerb & Channel"," 1145-ACM-CVP-DPK-0002","EB - Eastbound","Qassim Al-Montafjy","","","","","","",""
"ITP-012-A1-LOT-017 - 25 Craigieburn Rd - CH25960 to CH26000","05/02/2023","05/02/2023","05/02/2023","",,"CIL-Civil Lot","25960-26000","STOR Ð Stormwater","KERC - Kerb & Channel","","EB - Eastbound","Mohamad","","","","","","",""
"ITP-012-A1-LOT-018 - 27 Craigieburn Rd - CH25960 to CH26000","04/02/2023","04/02/2023","03/02/2023","",,"","25960-26000","STOR Ð Stormwater","KERC - Kerb & Channel","","EB - Eastbound","Mohammad","","","","","","",""
"ITP-012-A1-LOT-019 - CRAIGIEBURN RD WESTBOUND CH15900 to CH16000","07/02/2023","07/02/2023","07/02/2023","",," DRL- Drainage Lot","CH15900 to CH16000","STOR Ð Stormwater","KERC - Kerb & Channel"," 1145-ACM-CVP-DPK-0002","EB - Eastbound","Qassim Al-Montafjy","","","","","","",""
"ITP-012-A1-LOT-020 - Hardy East Island (South Side) - 16120 to 16200","07/02/2023","07/02/2023","07/02/2023","",,"","16120 to 16200","STOR Ð Stormwater","KERC - Kerb & Channel"," 1145-ACM-CVP-DPK-0002"," WB - Westbound","Qassim Al-Montafjy","","","","","","",""
"ITP-012-A1-LOT-021 - Craigieburn Rd Westbound CH16260 to CH16280","08/02/2023","08/02/2023","08/02/2023","",," DRL- Drainage Lot","CH16260 to CH16280","STOR Ð Stormwater","KERC - Kerb & Channel"," 1145-ACM-CVP-DPK-0002","","Philip Klenkowski","","","","","","",""
"ITP-012-A1-LOT-022 - Hume Hwy Left Slip Lane","08/02/2023","08/02/2023","08/02/2023","",,"","70220 to 70300","STOR Ð Stormwater","KERC - Kerb & Channel"," 1145-ACM-CVP-DPK-0002","","Philip Klenkowski","","","","","","",""
"ITP-012-A1-LOT-023 - Craigieburn Rd Westbound Medians CH15920 to CH16080","7/02/2023","7/02/2023","7/02/2023","",,"CIL-Civil Lot","15920 - 16080","STOR Ð Stormwater","KERC - Kerb & Channel","","EB - Eastbound","Mohammad Memari","","","","","","",""
"ITP-012-A1-LOT-024 - Zone 3.1","09/02/2023","09/02/2023","09/02/2023","",,"CIL-Civil Lot","CH14780 to CH15080","","KERC - Kerb & Channel"," 1145-ACM-CVR-DPK-0001"," WB - Westbound","","","","","","","",""
"ITP-012-A1-LOT-025 - Craigieburn Rd EB - CH15880 to CH15940","21/02/2023","21/02/2023","21/02/2023","",," DRL- Drainage Lot","CH15880 to CH15940","STOR Ð Stormwater","KERC - Kerb & Channel"," 1145-ACM-CVP-DPK-0002","EB - Eastbound","Mohammad Memari","","","","","","",""
"ITP-012-A1-LOT-026 - 3.1 E","12/05/23","12/05/23","12/05/23","",,"CIL-Civil Lot","","STOR Ð Stormwater","KERC - Kerb & Channel",""," WB - Westbound","Abdullah Abdullah","","","","","","",""
"ITP-012-A1-LOT-027 - Craigieburn Rd  - CH13640 to CH13850","","","","",,"","","","","","","","","","","","","",""
"ITP-012-A1-LOT-028 - Craigieburn Rd - CH14000 - CH14180 (Sth Side)","","","","",,"","","","","","","","","","","","","",""
"ITP-012-A1-LOT-029 - Craigieburn Rd - CH14000 - CH14180 (Nth side)","","","","",,"","","","","","","","","","","","","",""
"ITP-013 - Structural Concrete",,,,,,,,,,,,,,,,,,,
"ITP-013-A1-LOT-001 - Hume Hwy South - Headwall 1011 - BASE","19/07/2022","19/07/2022","19/07/2022","pass",,"STL - Structural","","STOR - Stormwater","PIEH - Pier Head",""," SB - Southbound","James Moran","Pit 1011 Headwall base","James Moran","2/09/2022","Babak Rudd-Project Quality Manager","N/A"," CLOSED","13/09/2022"
"ITP-013-A1-LOT-002 - Hume Hwy South - Headwall 1011 - WALLS","21/07/2022","21/07/2022","21/07/2022","pass",,"STL - Structural","","STOR - Stormwater","PIEH - Pier Head","","","James Moran","Pit 1011 Headwall walls","Philip Klenkowski","19/09/2022","Babak Rudd-Project Quality Manager","N/A"," CLOSED","21/09/2022"
"ITP-013-A1-LOT-003 - Maintenance Strip Ground Beam from Pit 305a to Pit 305","","","","not started",,"","","","","","","Mohammad Memari","","","",,,,
"ITP-013-A1-LOT-004 - Zone 3 - Pit 303 Insitu Pour","24/05/2023","24/05/2023","24/05/2023","not started",,"STL - Structural","","STOR - Stormwater","DRAP - Drainage Pit","1145-ACM-CVD-DPK-0002"," WB - Westbound","Mohammad Memari","","","","","","",""
"ITP-013-A1-LOT-005 - Zone 3 - Pit 303 Insitu Pour - Lift #1 600mm","","","","not started",,"","","","","","","","","","","","","",""
"ITP-016 - Bored Pile Construction",,,,,,,,,,,,,,,,,,,
"ITP-017 - Underground Stormwater Drainage",,,,,,,,,,,,,,,,,,,
"ITP-017-A1-LOT-001 - Stormwater Drainage - Pit 1002 to Pit 1001 - Hume Hwy southbound Xing - Z1","30/01/2022","30/01/2022","30/01/2022","05/09/2022",," DRL- Drainage Lot","","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," SB - Southbound","Omar El-Khub","PROBLEM WITH THIS LOT IN CONQA. Lot Status: ENTER STATUS, Verified by: ENTER NAME, Date: ENTER DATE. Over 60 days due to waiting for CCTV Report.","Qassim Al-Montafjy","","","","",""
"ITP-017-A1-LOT-002 - Stormwater Drainage - Pit 1014 to Pit 1015 ","28/02/2022","28/02/2022","28/02/2022","",," DRL- Drainage Lot","70205 to 70210","STOR - Stormwater","STOR - DRAP Drainage ÊÊ",""," NB - Northbound","Qassim Al-Montafjy","PROBLEM WITH THIS LOT IN CONQA. Lot Status: ENTER STATUS, Verified by: ENTER NAME, Date: ENTER DATE. Over 60 days due to waiting for CCTV Report","Qassim Al-Montafjy ","26/09/2022","","","",""
"ITP-017-A1-LOT-003 - Stormwater Drainage - Pit 1015 to Pit 1016","28/02/2022","28/02/2022","28/02/2022","",," DRL- Drainage Lot","70197 to 70104","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," NB - Northbound","Qassim Al-Montafjy ","PROBLEM WITH THIS LOT IN CONQA. Lot Status: ENTER STATUS, Verified by: ENTER NAME, Date: ENTER DATE. Over 60 days due to waiting for CCTV Report","Qassim Al-Montafjy","26/09/2022","","","",""
"ITP-017-A1-LOT-004 - Stormwater Drainage - Pit 1016 to Pit 1017","28/02/2022","28/02/2022","28/02/2022","05/09/2022",," DRL- Drainage Lot","70194 to 70197","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," NB - Northbound","Qassim Al-Montafjy","PROBLEM WITH THIS LOT IN CONQA. Lot Status: ENTER STATUS, Verified by: ENTER NAME, Date: ENTER DATE. Over 60 days due to waiting for CCTV Report","Qassim Al-Montafjy","26/09/2022","","","",""
"ITP-017-A1-LOT-005 - Stormwater Drainage - Pit 1017 to Pit 1018","28/02/2022","28/02/2022","28/02/2022","",," DRL- Drainage Lot","70187 to 70194","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," NB - Northbound","Qassim Al- Montafjy","PROBLEM WITH THIS LOT IN CONQA. Lot Status: ENTER STATUS, Verified by: ENTER NAME, Date: ENTER DATE. Over 60 days due to waiting for CCTV Report","Qassim Al-Montafjy","26/06/2022","","","",""
"ITP-017-A1-LOT-006 - Stormwater Drainage - Pit 1018 to Pit 1019","28/02/2022","28/02/2022","28/02/2022","05/09/2022",," DRL- Drainage Lot","70175 to 70187","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," NB - Northbound","Qassim Al-Montafjy","PROBLEM WITH THIS LOT IN CONQA. Lot Status: ENTER STATUS, Verified by: ENTER NAME, Date: ENTER DATE. Over 60 days due to waiting for CCTV Report","Qassim Al-Montafjy","26/09/2022","","","",""
"ITP-017-A1-LOT-007 - Stormwater Drainage - Pit 1019 to Pit 1020","28/02/2022","28/02/2022","28/02/2022","",," DRL- Drainage Lot","70140 to 70150","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," NB - Northbound","Qassim Al- Montafjy","PROBLEM WITH THIS LOT IN CONQA. Lot Status: ENTER STATUS, Verified by: ENTER NAME, Date: ENTER DATE. Over 60 days due to waiting for CCTV Report","Qassim Al-Montafjy","26/09/2022","","","",""
"ITP-017-A1-LOT-008 - Stormwater Drainage - Pit 1020 to Pit 1021","28/02/2022","28/02/2022","28/02/2022","",," DRL- Drainage Lot","70137 to 70157","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," NB - Northbound","Qassim Al _montntafjy","PROBLEM WITH THIS LOT IN CONQA. Lot Status: ENTER STATUS, Verified by: ENTER NAME, Date: ENTER DATE. Over 60 days due to waiting for CCTV Report","Qassim Al-Montafjy","26/09/2022","","","",""
"ITP-017-A1-LOT-009 - Stormwater Drainage - Pit 1021 to Pit 1022","28/02/2022","28/02/2022","23/03/2022","",," DRL- Drainage Lot","70116 to 70130","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," NB - Northbound","Qassim Al-Montafjy","PROBLEM WITH THIS LOT IN CONQA. Lot Status: ENTER STATUS, Verified by: ENTER NAME, Date: ENTER DATE. Over 60 days due to waiting for CCTV Report","Philip Klenkowski","","","","",""
"ITP-017-A1-LOT-010 - Stormwater Drainage - Pit 1002 to Pit 1003","10/03/2022","10/03/2022","18/03/2022","",," DRL- Drainage Lot","70320 to 70450","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017","","Qassim Al-montafjy","Install Drainage Line between pit 1002 and 1003 at Hume North Median.
Over 60 days due to waiting for CCTV Report.","Qassim Al-Montafjy","","","","",""
"ITP-017-A1-LOT-011 - Stormwater Drainage - Pit 1002 to Pit 1007","10/03/2022","10/03/2022","","",,"","70320 to 70450","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017","","Qassim al-Montafjy","","Qassim Al-Montafjy","","","","",""
"ITP-017-A1-LOT-012 - Stormwater Drainage - Pit 1003 to Pit 1004","10/03/2022","10/03/2022","18/03/2022","",," DRL- Drainage Lot","70320 to 70450","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017","","Qassim Al-Montafjy","PROBLEM WITH THIS LOT IN CONQA. Lot Status: ENTER STATUS, Verified by: ENTER NAME, Date: ENTER DATE. Over 60 days due to waiting for CCTV Report","Qassim Al-Montafjy","","","","",""
"ITP-017-A1-LOT-013 - Stormwater Drainage - Pit 1003 to Pit 1006","10/03/2022","10/03/2022","10/05/2022","",," DRL- Drainage Lot","70320 to 70450","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017","","Qassim Al-Montafjy","","Qassim Al-Montafjy","",,,,
"ITP-017-A1-LOT-014 - Stormwater Drainage - Pit 1004 to Pit 1005","10/03/2022","10/03/2022","18/03/2022","",," DRL- Drainage Lot","70320 to 70450","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017","","Qassim Al-Montafjy","Install Drainage Line between pit 1004 and 1005 at Hume North Median.
Over 60 days due to waiting for CCTV Report.","Philip Klenkowski","10/03/2022","","","",""
"ITP-017-A1-LOT-015 - Stormwater Drainage - Pit 1007 to Pit 1008","10/03/2022","10/03/2022","10/05/2022","",," DRL- Drainage Lot","70320 to 70450","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017","","Qassim Al-Montafjy","","Qassim Al-Montafjy","26/09/2022","Babak Rudd-Project Quality Manager"," N/A","OUTSTANDING",""
"ITP-017-A1-LOT-016 - Stormwater Drainage - Pit 1007 to Pit 1009","04/05/2022","04/05/2022","04/05/2022","5/09/2022",," DRL- Drainage Lot","CH70323","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017","","","","Qassim Al-Montafjy","26/09/2022","Babak Rudd-Project Quality Manager"," N/A","OUTSTANDING",""
"ITP-017-A1-LOT-017 - Stormwater Drainage - Pit 1009 to Pit 1010","10/03/2022","10/03/2022","","05/09/2022",," DRL- Drainage Lot","70320 to 70450","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017","","Qassim Al-Montafjy","","Qassim Al-Montafjy","26/09/2022","","","",""
"ITP-017-A1-LOT-018 - Stormwater Drainage - Head wall 1000 to Pit 1001","22/03/2022","22/03/2022","22/03/2022","",," DRL- Drainage Lot","At the rear of Hume compound","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," SB - Southbound","Qassim Al-Montafjy","Install Pit 1001 and stormwater pipe.
Over 60 days due to waiting for CCTV Report.","Qassim Al-Montafjy","","","","",""
"ITP-017-A1-LOT-019 - Stormwater Drainage - Pit 226 to Pit 227","5/04/2022","6/04/2022","6/04/2022","12/04/2022",," DRL- Drainage Lot","13865 - 13842","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," WB - Westbound","James Moran","Drainage - Golf Course West- Zone 4.
Over 60 days due to waiting for CCTV Report.","James Moran","10/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","12/08/2022"
"ITP-017-A1-LOT-020 - Stormwater Drainage - Pit 227 to Pit 228","6/04/2022","6/04/2022","6/04/2022","13/04/2022",," DRL- Drainage Lot","13842 - 13815","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," WB - Westbound","James Moran","Golf Course West - Zone 4.
Over 60 days due to waiting for CCTV Report.","James Moran","10/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","12/08/2022"
"ITP-017-A1-LOT-021 - Stormwater Drainage - Pit 228 to Pit 230","6/04/2022","6/04/2022","6/04/2022","14/05/2022",," DRL- Drainage Lot","13815 - 13797","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," WB - Westbound","James Moran","Golf Course West - Zone 4.
Over 60 days due to waiting for CCTV Report.","James Moran","10/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","12/07/2022"
"ITP-017-A1-LOT-022 - Stormwater Drainage - Pit 230 to Pit 231","06/04/2022","06/04/2022","06/04/2022","4/05/2022",," DRL- Drainage Lot","13797 - 13770","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," WB - Westbound","James Moran","Golf Course West - Zone 4.
Over 60 days due to waiting for CCTV Report.","James Moran","10/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","12/07/2022"
"ITP-017-A1-LOT-023 - Stormwater Drainage - Pit 231 to Pit 232","06/04/2022","06/04/2022","06/04/2022","6/05/2022",," DRL- Drainage Lot","13770 - 13745","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," WB - Westbound","James Moran","Golf Course West - Zone 4.
Over 60 days due to waiting for CCTV Report.","James Moran","10/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","12/07/2022"
"ITP-017-A1-LOT-024 - Stormwater Drainage - Pit 232 to Pit 233","7/04/2022","7/04/2022","7/04/2022","10/05/2022",," DRL- Drainage Lot","13745 - 13730","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," WB - Westbound","James Moran","Golf Course West - Zone 4.
Over 60 days due to waiting for CCTV Report.","James Moran","10/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","12/07/2022"
"ITP-017-A1-LOT-025 - Stormwater Drainage - Pit 233 to Pit 234","7/04/2022","7/04/2022","7/04/2022","10/05/2022",," DRL- Drainage Lot","13730 - 13705","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-C200-FUL-QAC-0017"," WB - Westbound","James Moran","Golf Course West - Zone 4.
Over 60 days due to waiting for CCTV Report.","James Moran","10/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","12/07/2022"
"ITP-017-A1-LOT-026 - RCBC -  Hume South Median - Pit 1011 to Pit 1012 ","04/07/2022","04/07/2022","04/07/2022","05/09/2022",," DRL- Drainage Lot","CH70269 to CH70278","","STOR - DRAP Drainage ÊÊ","1145-ACM-CVD-DPK-0002"," NB - Northbound","QassimAl-Montafjy","","Qassim Al-Montafjy","","","","",""
"ITP-017-A1-LOT-027 - Stormwater Drainage - Pit 090 to Pit 167 - BTW Bridgewater Rd to Clovelly Dr","07/09/2022","07/09/2022","07/09/2022","14/09/2022",," DRL- Drainage Lot","Chainage 14968 To Chainage 14986 ","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","Khulood Hwayyis","Drainage line BTW pit 090 to pit 167","Khulood Hwayyis","06/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","28/10/2022"
"ITP-017-A1-LOT-028 - Stormwater Drainage - Pit 167 to Pit 091 - BTW Bridgewater Rd to Clovelly Dr","07/09/2022","07/09/2022","07/09/2022","14/09/2022",," DRL- Drainage Lot","Chainage 14938 to Chainage 14968","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","Khulood Hwayyis","Drainage line between pit 167 to pit 090","Khulood Hwayyis","06/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","28/10/2022"
"ITP-017-A1-LOT-029 - Stormwater Drainage - Pit 091 to Pit 092 - BTW Bridgewater Rd to Clovelly Dr","07/08/2022","07/08/2022","07/08/2022","14/09/2022",," DRL- Drainage Lot","Chainage 14914 to Chainage 14938","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","Khulood Hwayyis","Drainage line between pit 091 and pit 092","Khulood Hwayyis","06/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","28/10/2022"
"ITP-017-A1-LOT-030 - Stormwater Drainage - Pit 092 to Pit 192 - BTW Bridgewater Rd to Clovelly Dr","08/09/2022","08/09/2022","08/09/2022","15/09/2023",," DRL- Drainage Lot","Chainage 14893 to Chainage 14914","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","Khulood Hwayyis","Drainage line between pit 092 and pit 192","Khulood Hwayyis","16/02/2023","","","",""
"ITP-017-A1-LOT-031 - Stormwater Drainage - Pit 192 to Pit 192-1 - BTW Bridgewater Rd to Clovelly Dr","08/09/2022","08/09/2022","08/09/2022","27/01/2023",," DRL- Drainage Lot","Chainage 14878 to Chainage 14893","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","Khulood Hwayyis","Drainage line between Pit 192 and pit 192-1","Khulood Hwayyis","16/02/2023","","","",""
"ITP-017-A1-LOT-032 - Stormwater Drainage - Pit 305 to Pit 305a - BTW Bridgewater Rd to Clovelly Dr","09/09/2022","09/09/2022","09/09/2022","15/09/2023",," DRL- Drainage Lot","Chainage 14796 to Chainage 14817","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004","","Khulood Hwayyis","Drainage line between Pit 305 and pit 305a","Khulood Hwayyis","16/02/2023","","","",""
"ITP-017-A1-LOT-033 - Stormwater Drainage - Pit 305a to Pit 304 - BTW Bridgewater Rd to Clovelly Dr","09/09/2022","09/09/2022","09/09/2022","30/09/2022",," DRL- Drainage Lot","Chainage 14778 to Chainage 14796","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","Khulood Hwayyis","Drainage line between pit 305a and pit 304","Khulood Hwayyis","31/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","25/11/2022"
"ITP-017-A1-LOT-034 - RCP (525mm) Drainage - Pit 063 to Pit 063 -1 - Hardy West St","09/09/2022","09/09/2022","09/09/2022","",," DRL- Drainage Lot","CH16070 to CH16088","STOR - Stormwater","STOR - DRAP Drainage ÊÊ",""," WB - Westbound","Qassim Al-Montafjy","","","","","","",""
