"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"97a842cb-2f3c-41fb-81d7-53759bab9eb2","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections"
"acaca897-adfa-4c5b-aaf1-2322fae7deb5","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 59 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"37661067-68b9-5bfa-9dc3-3537a22f46a2","","checklist-flat","pass","Seismic Joint Building Connection","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 59 - Check Sheet 95% Valve Box Incomplete","Seismic Joint Building Connection"
"88087d13-bd30-458c-9cb1-6df167637073","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete"
"2e3bf9bd-b7af-4c74-b5d3-bb75915f50e9","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation"
"216be0be-6ce0-44ae-b595-9154986ab675","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation"
"4b9f450b-0416-4591-8022-e72ec5d2798b","","checklist-flat","pass","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"b935f9a3-b69c-45f2-afb1-f44810cb306c","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding"
"fef0c5f2-b7c1-4396-8efa-874b871a6053","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10"
"07956862-4117-4af0-9a08-f0f3dea79345","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2"
"bedc304d-e019-4648-8b2b-2f177dd89f8b","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"60d032d4-cc00-4678-85cd-4629db900a11","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3"
"86893c48-aeae-4147-9c5c-07ea9701102f","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"8436589c-48f9-4b2b-8c9b-f5c8bb2463d7","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4"
"d9eae8cf-6253-4360-b13a-f220c06ae22c","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
"3314b3eb-4190-46e4-8e0f-6c5395278b4e","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5"
"605208e8-f672-47a4-be46-a9aa669afdcc","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5","Electrofusion Welding"
"0c83e5d3-be85-45bf-9bf5-cb09c11cfc42","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 7"
"db57623e-d8d4-40a3-95b5-4610d3ba838a","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 7","Electrofusion Welding"
"70e552e9-1725-4225-929b-fcec0328efe6","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 8"
"8fab3265-733a-48d7-a2aa-0eb10f158f4b","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 8","Electrofusion Welding"
"403c0118-6ee6-4414-93b5-0591b6fc9559","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 9"
"d2b926fa-d387-4835-82cd-e63f3cf29687","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 9","Electrofusion Welding"
"a8359204-27b3-4476-8a22-ecb596c3091d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 10"
"4251daec-111b-4645-9e2d-3f4ac5f3d818","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 10","Electrofusion Welding"
"386df5ef-5717-48d1-9a4f-f75cbaac016e","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20"
"d1db0140-86b8-460f-8005-9223cb55b44a","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 11"
"20e33232-42b3-4b7d-ae01-370a9ee77571","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 11","Electrofusion Welding"
"3a3a89d5-0efc-477e-b57d-0c8e6512fa30","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 12"
"489461f9-dfe8-4a4f-93c1-45bbfc1da708","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 12","Electrofusion Welding"
"9cda01a9-fdf0-4f03-a5eb-803a7ea9fd64","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 13"
"7ceb7f6d-0fe9-4855-8bb0-ae1a28e40ef3","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 13","Electrofusion Welding"
"563b6424-e867-497f-b841-53bb54965868","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 14"
"0af72e11-6045-4155-bb7b-af2961467b2a","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 14","Electrofusion Welding"
"9468aa69-2a88-4eba-8d15-bc79137224ee","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 15"
"79314219-8638-406d-9761-e5ff2c927b6f","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 15","Electrofusion Welding"
"1133c2d1-e26a-4ef7-a994-5d6144a87d4b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 16"
"2ed2841f-04d6-40b8-bab7-dc90be5f2a81","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 16","Electrofusion Welding"
"33c08b55-191e-48c2-b50e-de26f697d6e4","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 17"
"b20a4936-7aae-49e8-9545-abe7ccbe3ccf","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 17","Electrofusion Welding"
"00563029-be03-48af-8bf5-55a0bdee7ade","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 18"
"a7b51b2d-3efd-4642-8e6c-1e2bbbdf3d89","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 18","Electrofusion Welding"
"5369e771-5dff-4b2d-bfd5-9af0e7428fba","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 19"
"8e99662c-3629-4e04-a00a-670e7a62bda1","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 19","Electrofusion Welding"
"4e20a317-c4c0-4ab0-8fa2-b80871ae3db0","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 20"
"955558e9-451e-4ca5-9323-c9cbc0916e1f","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 20","Electrofusion Welding"
"4ae5dc76-3b5d-497e-9fcc-41c7e4d0b5ae","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01"
"27c0f029-32a5-46d2-972d-a223af635c92","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"72d63a63-72c7-51e3-b284-983f3f9190b7","","checklist-flat","pass","Seismic Joint Building Connection","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 60 - Check Sheet 100% Complete","Seismic Joint Building Connection"
"b68bc75b-a0d6-4f2c-abdd-0f487e058431","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete"
"a2b6dcea-689f-402c-a647-93da5730115c","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation"
"7ba60b33-8872-420b-9070-9f5f7116e8e0","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation"
"f5857d8d-1950-4367-b9e9-3bc9ce9242ca","","checklist-flat","work-in-progress","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"edbf90d8-c48c-482f-866f-06314d0e1959","Signoffs not allowed on folder-progress: Signoffs Weld 1-9(ef8060f7-9a9c-4d53-9430-b0068b50a31d)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding"
"de619abe-9e1e-47b0-9eb8-fac36f20148a","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10"
"5d5572eb-da32-4ad9-af96-515c20e97f42","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1"
"c52d75e8-7a4d-4642-b14a-263a19218286","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"a7628478-0439-4636-8f82-ca97b8ca6dce","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2"
"4637fc6a-51d1-4c06-bcb7-71e9d83c590e","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"186c74f8-0152-4758-b079-e6559e5fe752","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3"
"cc17ce70-4037-4bbc-9ac2-a0ab2752e7e4","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"b06c9174-13a7-437c-b67d-bdc0fc96b4a7","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4"
"b8d0a195-7532-4fea-b439-c5d552ad13a0","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
"e604e921-648e-491e-8e3c-b77070ffed7d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5"
"3a3c439b-b38f-474b-8460-da2f78eb92dd","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5","Electrofusion Welding"
"41213403-9527-4e75-bed7-c011b8113f7b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 6"
"24e29e6f-2d1e-4600-bb92-1ab248483b9b","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 6","Electrofusion Welding"
"3a072547-5869-4777-8878-5f5e00b7d6f9","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 7"
"20bf3379-0729-482f-89f9-57ef2db90719","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 7","Electrofusion Welding"
"3c18dcb2-b38d-4f7f-b051-288089da2f33","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 8"
"2915e65f-8c5d-43f2-ac1c-0bbcdf8613e4","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 8","Electrofusion Welding"
"e465f1c7-9ea5-4cf9-aad4-3a2b10bd0379","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 9"
"0181148b-9241-47a9-9c53-8832bc57d0fd","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 9","Electrofusion Welding"
"75c5b155-4747-4f68-8268-5712ad268fb6","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01"
"055d4f74-35a5-4726-bcf7-d33b95ca3f11","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 103 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"beec6583-7b4e-4553-afc0-2c8704a4be42","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 104 - Check Sheet 95% Valve Box Incomplete"
"ee67295f-6c2b-44cf-aa81-929591e7c9b8","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 104 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation"
"e57e42f9-b129-428c-904e-91928fcc2d80","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 104 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation"
"c78507d1-0d8e-48c2-86bd-010e8a669feb","","checklist-flat","pass","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 104 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"7083cb72-9534-4380-82d7-817a599838f5","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 104 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding"
"f555f53d-53a4-43b4-82a3-8585b9c46660","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 104 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10"
"bbf661e3-6cdb-47f9-9ebf-e68b48e597b5","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 104 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2"
"d5c2225b-bbb8-4d5a-a7fc-eb5ad5be94ab","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 104 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"05d4fd1f-60bd-43a3-be2e-936d0d86769b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 104 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3"
"c403382c-abdf-4f57-bebe-67df2aafbdc3","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 104 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"42a95ec9-ee5a-4c9a-b3dc-5534732d4b0c","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 104 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4"
"f55527d6-744b-4f5d-97d4-e180e41ab2c8","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 104 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
"7f4cbdb1-c9a4-4daa-a24e-e6357c31bc65","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 104 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5"
"1fa97a96-ac39-490d-aa8c-6f4586efcf76","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 7","Trench PE 104 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5","Electrofusion Welding"
