"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d2a827fb-34b7-4467-ac73-cbc5f3a899d0","","checklist-flat","pass","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"b1a77841-00af-574c-a3f6-530a342e4a05","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"691ac664-d674-5ffa-82e1-97aa106ff153","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"9a10b374-3aea-50c6-b119-ff4309257fba","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"3c405b8f-0a8f-53d6-b4d8-984c2b382980","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"22fa23cd-e941-50b0-bb41-1c152cbbcc82","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"924daf92-54dd-5b50-87ff-84c9485d4a61","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"a82bca07-5936-4613-9c09-5423681a2fcb","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"578f4e28-c674-425f-83b3-6b5f276008dc","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors"
"979b340f-2dc9-4535-ab72-ee22ebb94d56","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01"
"c78a5cd9-a5d9-4c3d-b404-f611bfc2b016","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Pre-Fit Off Checklist"
"9c883f19-298a-5bd9-9ae2-4b9e57e6bd20","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Data Plate, Access Point (Rails and Line Systems)","Details of Access Point"
"b32b9c96-03c5-5805-9599-f7c591b25c20","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Access Area"
"ca01e63a-7161-5ff5-bdd7-ca894d2d0cb7","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Data Plate, Access Point (Rails and Line Systems)","Details of Rail Carriages/Cable Travellers"
"8e99d356-c893-5aa8-a084-c4f411add244","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Data Plate, Access Point (Rails and Line Systems)","1 photo required of carriages/travellers"
"5a4dd6f8-f988-4f37-ad7f-d9f4a1814afe","","folder-normal","pass","","step","TRUE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile"
"191b77f2-8321-4fb0-9f25-aa75fb84dd3f","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Pre-Fit Off Checklist"
"29dc8e8a-e310-553c-8abd-35e856bf6b1d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"275b65c9-3606-5e9f-967b-c6ff470ad398","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Pre-Fit Off Checklist","EMAIL PM"
"713a74d9-dcaf-5638-bd9e-1edc900c3a8c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"7db11a16-4091-5257-9d50-2ee76fd1f074","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Pre-Fit Off Checklist","Photos taken"
"6df78d4c-7263-4fa2-bd1e-7a3134265000","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 05"
"b697af67-1d8c-5b89-b068-a838a44d931a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 05","Confirm the structure is in accordance with the details supplied by PBI"
"d19ea1ae-04fb-519a-a2d0-c9bb22ff8f3a","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 05","EMAIL PM"
"44469db2-cb6b-58eb-91c7-38838a0be03c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 05","Required number of photo(s) taken of installed anchor(s)"
"465bd66a-a25f-5892-b184-914afdac2ea3","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"f1569107-b416-405c-8d8c-134abe96d184","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 06"
"b1358c84-b7c5-58cd-a217-97fcc6a39706","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 06","Confirm the structure is in accordance with the details supplied by PBI"
"e93b9c8e-7ee9-5786-bb64-2e055c1485d6","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 06","EMAIL PM"
"7f3dd024-7f60-5446-838c-51df2c6f6401","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 06","Required number of photo(s) taken of installed anchor(s)"
"7c39d442-0a8b-58c9-b910-674d3cd97316","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"5a6f7288-1e4e-40bc-a625-c7467905470e","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 07"
"56aadb29-0d7c-5d3d-a887-ca8fd13cc178","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 07","Confirm the structure is in accordance with the details supplied by PBI"
"d4747da7-b8e9-5ed6-ae18-892217e64e4e","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 07","EMAIL PM"
"88f61f6c-2995-59cf-ac07-22589983c33c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 07","Required number of photo(s) taken of installed anchor(s)"
"5a83a9b2-f4f6-59ec-8b3e-bd0d088048aa","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"0a0dc424-39ee-416f-a19a-9b2a2913be07","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 14"
"61a3b0d2-02ee-5b0b-9d5e-a9c4f9ae4dc1","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 14","Confirm the structure is in accordance with the details supplied by PBI"
"e8119025-af8e-5f9f-94ff-54e7cda8c1cc","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 14","EMAIL PM"
"924ec035-7d99-5b31-a5b6-48a7d3ca44a2","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 14","Required number of photo(s) taken of installed anchor(s)"
"6cc25e67-0265-54b3-b317-4729d66d7884","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 14","Installed as per PBI drawings supplied and manufacturer's requirements"
"99355e4a-40b9-42f6-a1f6-56243f621b7b","","checklist-flat","pass","Data Plate & Access Point (Anchor Points)","checklist-flat","FALSE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Data Plate & Access Point (Anchor Points)"
"776a2c5d-46f7-5492-b9f5-565193c1cc45","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Data Plate & Access Point (Anchor Points)","Details of Data Plate"
"4f49a533-65b2-5bca-af24-0649bf4f1f67","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Data Plate & Access Point (Anchor Points)","1 photo required of Data Plate"
"30020421-78c5-574d-b79c-205782a47f49","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Data Plate & Access Point (Anchor Points)","Details of Access Point"
"167878e1-5d30-5991-b6c7-9d7e4d86fd15","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","3No Fall Arrest Anchors to Trapezoidal Profile","Data Plate & Access Point (Anchor Points)","1 photo required of Access Area"
"bd1f39b4-dd12-403c-88e1-621c0bc7b0e8","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","Data Plate, Access Point"
"da4ac9e9-3268-51a1-a403-d2e750d6c5c9","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","Data Plate, Access Point","Details of Data Plate"
"82f2905b-5869-5a79-98b9-f43a7850d36a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","Data Plate, Access Point","1 photo required of Data Plate"
"ad9a55e2-062f-5be9-93ec-a76f046e142f","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","Data Plate, Access Point","Details of Access Point"
"a1d611cd-114d-5214-8bb9-7f875464baf7","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","Data Plate, Access Point","1 photo required of Access Area"
"11a15d78-c534-5586-9c56-f2220ef68bc1","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","Data Plate, Access Point","Details of Rail Carriages/Cable Travellers"
"29cde268-539e-5b6e-b702-acee6870d8cd","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","Data Plate, Access Point","1 photo required of carriages/travellers"
"e6e96bf3-a9d9-4c5b-bb7f-9e8bf64277b3","","folder-normal","pass","","step","TRUE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No AP Type 03"
"cd6c3a10-2005-4c35-bb88-4269a5ff44af","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No AP Type 03","Pre-Fit Off Checklist"
"37b31809-3c1f-582a-b96c-e7770f5a217c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No AP Type 03","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"8ea4bf5e-c4ca-51c8-a7ca-5ef8275cb02e","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No AP Type 03","Pre-Fit Off Checklist","EMAIL PM"
"9c811c31-603f-5327-93f3-32bf9f34c13e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No AP Type 03","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"8b000012-95bf-5a71-908f-731a0df851f6","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No AP Type 03","Pre-Fit Off Checklist","Photos taken"
"cd1d08b6-5b77-4b3c-80c9-39fa142d318a","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No AP Type 03","Fit Off Checklist - Anchor 15"
"179a2f84-0977-502d-880d-a6a6190e64f8","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No AP Type 03","Fit Off Checklist - Anchor 15","Confirm the structure is in accordance with the details supplied by PBI"
"668f23e3-9278-5c88-b423-2424f736b812","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No AP Type 03","Fit Off Checklist - Anchor 15","EMAIL PM"
"a03d2a1a-c586-50ff-82b9-7923a14fbb21","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No AP Type 03","Fit Off Checklist - Anchor 15","Required number of photo(s) taken of installed anchor(s)"
"25924138-4787-5e6b-97f0-b731cc2faef2","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No AP Type 03","Fit Off Checklist - Anchor 15","Installed as per PBI drawings supplied and manufacturer's requirements"
"b5dc9e2d-e101-437d-b420-fd5d3df7c4c2","","folder-normal","pass","","step","TRUE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors"
"7710a74a-7253-4536-ac2d-7f0d8c2e1539","","folder-normal","pass","","step","TRUE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03"
"35f1ac98-f5ad-4f88-8557-7cf599141952","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Pre-Fit Off Checklist"
"515c11be-2583-5e96-9a59-08cae0422d6a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"60b3156e-5dd9-5f1f-83e7-0e6243d92b1a","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Pre-Fit Off Checklist","EMAIL PM"
"3c6a4744-b088-5f73-a441-ad018d9e1d21","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"cecc5969-1aeb-549f-b3ee-c1b97c77f1c5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Pre-Fit Off Checklist","Photos taken"
"cfc01b83-f528-4a9a-92de-c151a181d151","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Fit Off Checklist - Line 03"
"0dafa3ea-74aa-5eb8-9eb8-fb291ba9c008","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Fit Off Checklist - Line 03","Confirm the structure is in accordance with the details supplied by PBI"
"31cc7fdc-224d-5e8d-aa67-ed3ff115c66b","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Fit Off Checklist - Line 03","EMAIL PM"
"8847bdbb-8dfa-5e9f-b638-ff6ee3b61cb4","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Fit Off Checklist - Line 03","Photo taken of line pull test - 4 photos required"
"27388085-52e1-5a76-bd9f-644766301b6b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Fit Off Checklist - Line 03","Photo taken of Swages - 12 photos required"
"d5fbed13-4c50-5222-abfc-91b45cb2bc35","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Fit Off Checklist - Line 03","Photo taken of Engraved Line Plate / ID Tag"
"56c139a5-c017-5f08-b204-dc6bb0bcaf15","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Fit Off Checklist - Line 03","Video taken of system"
"bb0a1cd4-7ac9-5a35-934d-27f7a6b75c7c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Fit Off Checklist - Line 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"1c692f6b-da1b-4f32-9337-cce4f53d4231","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Data Plate, Access Point (Rails and Line Systems)"
"d8086dc2-c9e6-554d-b6da-a7af0fda137d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Data Plate, Access Point (Rails and Line Systems)","Details of Data Plate"
"ab4e2c9f-85dd-5d82-8402-aa5f47b11288","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Data Plate"
"464bd2c1-b92f-5a49-bce0-e1e82ffa1959","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Data Plate, Access Point (Rails and Line Systems)","Details of Access Point"
"02d7e9e4-6db1-5533-a499-7af531a9dc47","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Access Area"
"6d1bbba7-5cd9-59eb-8618-660ded35c4a6","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Data Plate, Access Point (Rails and Line Systems)","Details of Rail Carriages/Cable Travellers"
"4272cd32-f6e0-5903-8828-78100e29457a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","1No RoofSafe Cable System @ 49m - Line 03","Data Plate, Access Point (Rails and Line Systems)","1 photo required of carriages/travellers"
"4b4a9616-d690-4997-8af5-c8b936caa6a1","","folder-normal","pass","","step","TRUE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile"
"fe960d95-71e9-4beb-b02f-2970a0db8632","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Pre-Fit Off Checklist"
"85f8b979-4849-5436-a6fa-33aa85f4eee9","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"0477dc55-d561-5055-96bb-a10318b18e49","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Pre-Fit Off Checklist","EMAIL PM"
"d16a316b-fcff-5364-a332-af3754e313b9","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"3db0f7d1-67f5-584e-a165-28f5eae654ee","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Pre-Fit Off Checklist","Photos taken"
"93ee848d-e136-4847-a05b-4c2839096d85","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 08"
"2170ba70-2b95-50c3-a237-6b796eb87f2d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 08","Confirm the structure is in accordance with the details supplied by PBI"
"b62bd5a0-2522-5481-b7ab-ecafb40ca198","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 08","EMAIL PM"
"3fff7eba-c525-534e-8cc7-27a590fd90ae","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 08","Required number of photo(s) taken of installed anchor(s)"
"4fb1e805-40f1-5cbd-b676-e25c6dcd5400","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 08","Installed as per PBI drawings supplied and manufacturer's requirements"
"9533e48d-fe1d-4cc8-950c-cb5ef71a8c6c","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 09"
"5b63dae5-60b9-518b-ac89-6095bc5953c6","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 02 - 1no RoofSafe Cable System and 5no Fall Arrest Anchors","4No Fall Arrest Anchors to Trapezoidal Profile","Fit Off Checklist - Anchor 09","Confirm the structure is in accordance with the details supplied by PBI"
