Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,
,,Reticulation of Cables Complete,,reticulation of cables complete (attached photos),,,,,,,,
,,Flush Box / Fire Box Installed,,flush box / fire box installed (photos attached of fire box),,,,,,,,
,,Attach Photos Of Fire proofing by Others on Fire Walls,,attach photos of fire proofing by others on fire walls,,,,,,,,
,,Pohutukawa - Area accessible & substrate acceptable,,Area accessible & substrate acceptable,,,,,,,,
,,Pohutukawa - CAT Wire,,CAT Wire,,,,,,,,
,,Pohutukawa - Cables,,Cables,,,,,,,,
,,Pohutukawa - Flush Boxes,,Flush Boxes,,,,,,,,
,,Pohutukawa - PHD,,PHD,,,,,,,,
,,Pohutukawa - Microduct,,Microduct,,,,,,,,
,,Pohutukawa - Chorus Fibre,,Chorus Fibre,,,,,,,,
,,Pohutukawa - Fixtures in place,,Fixtures in place,,,,,,,,
,,Pohutukawa - First Fix Completed,,First Fix Completed,,,,,,,,
,,,,,,,,,,,,
Completion Documents,,,,,,,,,,,,
,Scope,,,,,,,,,,,
,Rows,,,,,,,,,,,
,,Building A/B,grouping,Building A/B,,,,,,,,
,,Building A,,Building A,Building A,completion documents,,,,,,
,,Building B,,Building B,Building B,completion documents,,,,,,
,,Pohutukawa Care Building,grouping,Pohutukawa Care Building,,,,,,,,
,,PERS,,Site QA,Pohutukawa Care Building,Completion Documents,PERS,,,,,
,,GCS,,Site QA,Pohutukawa Care Building,Completion Documents,GCS,,,,,
,,ESS,,Site QA,Pohutukawa Care Building,Completion Documents,ESS,,,,,
,,MATV,,Site QA,Pohutukawa Care Building,Completion Documents,MATV,,,,,
,,Back Bone Fibre,,Site QA,Pohutukawa Care Building,Completion Documents,Back Bone Fibre,,,,,
,Columns,,,,,,,,,,,
,,Producer statements PS3s,,Producer statements PS3s,,,,,,,,
,,As built plan,,As built plan,,,,,,,,
,,O & M Manual,,O & M Manual,,,,,,,,
,,Other required documents,,Other required documents,,,,,,,,
,,,,,,,,,,,,
Floor Commissioning,,,,,,,,,,,,
,Scope,,,,,,,,,,,
,Rows,,,,,,,,,,,
,,Building A/B,grouping,Building A/B,,,,,,,,
,,Building A,,level basement / carpark,site qa,Building A,floor commissioning,,,,,
,,Building B,,level basement / carpark,site qa,Building B,floor commissioning,,,,,
,,Pohutukawa Care Building,grouping,Pohutukawa Care Building,,,,,,,,
,,Ground - Stage 1 - PERS - Common areas - Stairs G.04,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,PERS,Common areas,Stairs G.04,
,,Ground - Stage 1 - PERS - Common areas - Lift G.08,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,PERS,Common areas,Lift G.08,
,,Ground - Stage 1 - PERS - Common areas - Lounge G.02,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,PERS,Common areas,Lounge G.02,
,,Ground - Stage 1 - PERS - Rooms - Room G.18,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,PERS,Rooms,Room G.18,
,,Ground - Stage 1 - PERS - Rooms - Room G.19,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,PERS,Rooms,Room G.19,
,,Ground - Stage 1 - PERS - Rooms - Room G.20,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,PERS,Rooms,Room G.20,
,,Ground - Stage 1 - PERS - Rooms - Room G.21,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,PERS,Rooms,Room G.21,
,,Ground - Stage 1 - PERS - Rooms - Room G.23,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,PERS,Rooms,Room G.23,
,,Ground - Stage 1 - PERS - Rooms - Room G.24,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,PERS,Rooms,Room G.24,
,,Ground - Stage 1 - PERS - Displays - Display 1 CIRC G.17 DF,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,PERS,Displays,Display 1 CIRC G.17 DF,
,,Ground - Stage 1 - PERS - Displays - Display 2 CIRC G.28 SF,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,PERS,Displays,Display 2 CIRC G.28 SF,
,,Ground - Stage 1 - GCS - Common Area Data - Café G.13 - 8 Data,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,GCS,Common Area Data,Café G.13 - 8 Data,
,,Ground - Stage 1 - GCS - Common Area Data - Nurse Manager G.14 - 4 Data,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,GCS,Common Area Data,Nurse Manager G.14 - 4 Data,
,,Ground - Stage 1 - GCS - Common Area Data - Admin G.15 - 4 Data,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,GCS,Common Area Data,Admin G.15 - 4 Data,
,,Ground - Stage 1 - GCS - Common Area Data - Nurse Station G.29 - 6 Data,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,GCS,Common Area Data,Nurse Station G.29 - 6 Data,
,,Ground - Stage 1 - GCS - Common Area Data - DB CBD G.27 - 4 Data,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,GCS,Common Area Data,DB CBD G.27 - 4 Data,
,,Ground - Stage 1 - GCS - Common Area Data - Plant Room - 2 Data,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,GCS,Common Area Data,Plant Room - 2 Data,
,,Ground - Stage 1 - GCS - Common Area Data - Wind Lobby Intercom G.12 - 1 Data,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,GCS,Common Area Data,Wind Lobby Intercom G.12 - 1 Data,
,,Ground - Stage 1 - GCS - WIFI - Lounge G.02 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,GCS,WIFI,Lounge G.02 - WIFI,
,,Ground - Stage 1 - GCS - WIFI - CIRC G.17 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,GCS,WIFI,CIRC G.17 - WIFI,
,,Ground - Stage 1 - GCS - WIFI - CIRC G.22 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,GCS,WIFI,CIRC G.22 - WIFI,
,,Ground - Stage 1 - ESS - Doors - CIRC G.03 Double Door,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,ESS,Doors,CIRC G.03 Double Door,
,,Ground - Stage 1 - ESS - Doors - Wind Lobby G.12 Slidding Door,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,ESS,Doors,Wind Lobby G.12 Slidding Door,
,,Ground - Stage 1 - ESS - Doors - CRIC G.22 Double Door,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,ESS,Doors,CRIC G.22 Double Door,
,,Ground - Stage 1 - ESS - Doors - DLY CON 1 G.25 Double Door,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,ESS,Doors,DLY CON 1 G.25 Double Door,
,,Ground - Stage 1 - ESS - Cameras - C-G01,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,ESS,Cameras,C-G01,
,,Ground - Stage 1 - ESS - Cameras - C-G02,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,ESS,Cameras,C-G02,
,,Ground - Stage 1 - ESS - Cameras - C-G03,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,ESS,Cameras,C-G03,
,,Ground - Stage 1 - ESS - Cameras - C-G04,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 1,ESS,Cameras,C-G04,
,,Ground - Stage 2 - PERS - Rooms - Room G.31,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 2,PERS,Rooms,Room G.31,
,,Ground - Stage 2 - PERS - Rooms - Room G.32,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 2,PERS,Rooms,Room G.32,
,,Ground - Stage 2 - PERS - Rooms - Room G.33,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 2,PERS,Rooms,Room G.33,
,,Ground - Stage 2 - PERS - Rooms - Room G.35,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 2,PERS,Rooms,Room G.35,
,,Ground - Stage 2 - PERS - Rooms - Room G.36,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 2,PERS,Rooms,Room G.36,
,,Ground - Stage 2 - PERS - Rooms - Room G.37,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 2,PERS,Rooms,Room G.37,
,,Ground - Stage 2 - PERS - Displays - Display 3 CIRC G.34 DF,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 2,PERS,Displays,Display 3 CIRC G.34 DF,
,,Ground - Stage 2 - GCS - WIFI - CIRC G.34 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 2,GCS,WIFI,CIRC G.34 - WIFI,
,,Ground - Stage 2 - GCS - WIFI - OUTSIDE G.31 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 2,GCS,WIFI,OUTSIDE G.31 - WIFI,
,,Ground - Stage 2 - GCS - WIFI - OUTSIDE G.32 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 2,GCS,WIFI,OUTSIDE G.32 - WIFI,
,,Ground - Stage 3 - PERS - Common areas - Lounge G.49.1 A,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,PERS,Common areas,Lounge G.49.1 A,
,,Ground - Stage 3 - PERS - Common areas - Lounge G.49.1 B,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,PERS,Common areas,Lounge G.49.1 B,
,,Ground - Stage 3 - PERS - Common areas - Dining G.49 A,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,PERS,Common areas,Dining G.49 A,
,,Ground - Stage 3 - PERS - Common areas - Dining G.49 B,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,PERS,Common areas,Dining G.49 B,
,,Ground - Stage 3 - PERS - Common areas - Strair G.55,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,PERS,Common areas,Strair G.55,
,,Ground - Stage 3 - PERS - Rooms - Room G.41,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,PERS,Rooms,Room G.41,
,,Ground - Stage 3 - PERS - Rooms - Room G.42,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,PERS,Rooms,Room G.42,
,,Ground - Stage 3 - PERS - Rooms - Room G.43,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,PERS,Rooms,Room G.43,
,,Ground - Stage 3 - PERS - Rooms - Room G.44,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,PERS,Rooms,Room G.44,
,,Ground - Stage 3 - PERS - Rooms - Room G.45,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,PERS,Rooms,Room G.45,
,,Ground - Stage 3 - PERS - Rooms - Room G.47,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,PERS,Rooms,Room G.47,
,,Ground - Stage 3 - PERS - Rooms - Room G.48,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,PERS,Rooms,Room G.48,
,,Ground - Stage 3 - PERS - Displays - Display 4 SF,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,PERS,Displays,Display 4 SF,
,,Ground - Stage 3 - GCS - Common Area Data - MSR G.38 - 2 Data,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,GCS,Common Area Data,MSR G.38 - 2 Data,
,,Ground - Stage 3 - GCS - Common Area Data - Lounge G.49.1 - 2 Data,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,GCS,Common Area Data,Lounge G.49.1 - 2 Data,
,,Ground - Stage 3 - GCS - Common Area Data - CM Kitchen G.51 - 6 Data,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,GCS,Common Area Data,CM Kitchen G.51 - 6 Data,
,,Ground - Stage 3 - GCS - WIFI - Outside G.41 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,GCS,WIFI,Outside G.41 - WIFI,
,,Ground - Stage 3 - GCS - WIFI - CIRC G.46 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,GCS,WIFI,CIRC G.46 - WIFI,
,,Ground - Stage 3 - GCS - WIFI - CIRC G.50 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,GCS,WIFI,CIRC G.50 - WIFI,
,,Ground - Stage 3 - GCS - WIFI - CIRC G.57 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,GCS,WIFI,CIRC G.57 - WIFI,
,,Ground - Stage 3 - ESS - Doors - MSR G.38 Single Door Mortise,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,ESS,Doors,MSR G.38 Single Door Mortise,
,,Ground - Stage 3 - ESS - Doors - CM Kitchen G.51 Double Door,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,ESS,Doors,CM Kitchen G.51 Double Door,
,,Ground - Stage 3 - ESS - Doors - Stair G.55 Double Door with Door Reed,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,ESS,Doors,Stair G.55 Double Door with Door Reed,
,,Ground - Stage 3 - ESS - Doors - Sluice G.58 Single Door,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,ESS,Doors,Sluice G.58 Single Door,
,,Ground - Stage 3 - ESS - Cameras - C-G05,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,ESS,Cameras,C-G05,
,,Ground - Stage 3 - ESS - Cameras - C-G06,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,ESS,Cameras,C-G06,
,,Ground - Stage 3 - ESS - Cameras - C-G07,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,ESS,Cameras,C-G07,
,,Ground - Stage 3 - MATV - Common Area - Lounge G.49.1 - 1 TV,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 3,MATV,Common Area,Lounge G.49.1 - 1 TV,
,,Ground - Stage 4 - PERS - Common areas - Memory Pod G.90 A,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Common areas,Memory Pod G.90 A,
,,Ground - Stage 4 - PERS - Common areas - Memory Pod G.90 B,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Common areas,Memory Pod G.90 B,
,,Ground - Stage 4 - PERS - Common areas - WC G.92,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Common areas,WC G.92,
,,Ground - Stage 4 - PERS - Common areas - Stairs G.83,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Common areas,Stairs G.83,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.65,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.65,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.66,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.66,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.67,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.67,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.73,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.73,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.74,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.74,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.75,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.75,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.76,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.76,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.77,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.77,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.78,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.78,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.79,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.79,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.80,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.80,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.82,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.82,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.87,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.87,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.88,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.88,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.89,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Memory Rooms,Memory G.89,
,,Ground - Stage 4 - PERS - Displays - Display 4 CIRC G.81 DF,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Displays,Display 4 CIRC G.81 DF,
,,Ground - Stage 4 - PERS - Displays - Display 4 CIRC G.62 DF,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,PERS,Displays,Display 4 CIRC G.62 DF,
,,Ground - Stage 4 - GCS - Common Area Data - QUIET G.64 - 2 Data,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,GCS,Common Area Data,QUIET G.64 - 2 Data,
,,Ground - Stage 4 - GCS - Common Area Data - Drug G.69 - 2 Data,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,GCS,Common Area Data,Drug G.69 - 2 Data,
,,Ground - Stage 4 - GCS - Common Area Data - Wind Lobby Intercom G.60,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,GCS,Common Area Data,Wind Lobby Intercom G.60,
,,Ground - Stage 4 - GCS - WIFI - CIRC G.62 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,GCS,WIFI,CIRC G.62 - WIFI,
,,Ground - Stage 4 - GCS - WIFI - CIRC G.63 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,GCS,WIFI,CIRC G.63 - WIFI,
,,Ground - Stage 4 - GCS - WIFI - OUTSIDE MEMORY G.76 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,GCS,WIFI,OUTSIDE MEMORY G.76 - WIFI,
,,Ground - Stage 4 - GCS - WIFI - OUTSIDE MEMORY G.80 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,GCS,WIFI,OUTSIDE MEMORY G.80 - WIFI,
,,Ground - Stage 4 - GCS - WIFI - OUTSIDE MEMORY G.87 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,GCS,WIFI,OUTSIDE MEMORY G.87 - WIFI,
,,Ground - Stage 4 - GCS - WIFI - OUTSIDE MEMORY G.89 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,GCS,WIFI,OUTSIDE MEMORY G.89 - WIFI,
,,Ground - Stage 4 - GCS - WIFI - MEMORY POD G.90 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,GCS,WIFI,MEMORY POD G.90 - WIFI,
,,Ground - Stage 4 - GCS - Service areas - Services (Riser),,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,GCS,Service areas,Services (Riser),
,,Ground - Stage 4 - ESS - Doors - Wind Lobby G.60 Slidding Door,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,ESS,Doors,Wind Lobby G.60 Slidding Door,
,,Ground - Stage 4 - ESS - Doors - Waiting G.61 Double Door,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,ESS,Doors,Waiting G.61 Double Door,
,,Ground - Stage 4 - ESS - Doors - Drug G.69 Single Door Mortise,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,ESS,Doors,Drug G.69 Single Door Mortise,
,,Ground - Stage 4 - ESS - Doors - CIRC G.62 Double Door,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,ESS,Doors,CIRC G.62 Double Door,
,,Ground - Stage 4 - ESS - Doors - Memory Pod G.90 Double Door,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,ESS,Doors,Memory Pod G.90 Double Door,
,,Ground - Stage 4 - ESS - Doors - Dly Con 2 G.84 Single Door,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,ESS,Doors,Dly Con 2 G.84 Single Door,
,,Ground - Stage 4 - ESS - Doors - Stair Memory Door,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,ESS,Doors,Stair Memory Door,
,,Ground - Stage 4 - ESS - Cameras - C-G08,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,ESS,Cameras,C-G08,
,,Ground - Stage 4 - ESS - Cameras - C-G09,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,ESS,Cameras,C-G09,
,,Ground - Stage 4 - ESS - Cameras - C-G10,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,ESS,Cameras,C-G10,
,,Ground - Stage 4 - ESS - Cameras - C-G11,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,ESS,Cameras,C-G11,
,,Ground - Stage 4 - ESS - Cameras - C-G12,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,ESS,Cameras,C-G12,
,,Ground - Stage 4 - MATV - Common Area - Quiet G.64 - 1 TV,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,MATV,Common Area,Quiet G.64 - 1 TV,
,,Ground - Stage 4 - MATV - Common Area - Memory Pod G.90 - 1 TV,,Site QA,Pohutukawa Care Building,Commissioning,Ground,Stage 4,MATV,Common Area,Memory Pod G.90 - 1 TV,
,,Level 1 - Stage 1 - PERS - Common areas - Lift Lobby Hallway,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,PERS,Common areas,Lift Lobby Hallway,
,,Level 1 - Stage 1 - PERS - Common areas - Library 1.56,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,PERS,Common areas,Library 1.56,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.01,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,PERS,Rooms,Room 1.01,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.02,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,PERS,Rooms,Room 1.02,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.03,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,PERS,Rooms,Room 1.03,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.11,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,PERS,Rooms,Room 1.11,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.12,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,PERS,Rooms,Room 1.12,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.13,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,PERS,Rooms,Room 1.13,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.14,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,PERS,Rooms,Room 1.14,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.15,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,PERS,Rooms,Room 1.15,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.16,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,PERS,Rooms,Room 1.16,
,,Level 1 - Stage 1 - PERS - Displays - Display 7 CIRC 1.04 SF,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,PERS,Displays,Display 7 CIRC 1.04 SF,
,,Level 1 - Stage 1 - PERS - Displays - Display 8 CIRC 1.10 DF,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,PERS,Displays,Display 8 CIRC 1.10 DF,
,,Level 1 - Stage 1 - GCS - Common Area Data - Staff Room 1.17 - 1 Data,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,GCS,Common Area Data,Staff Room 1.17 - 1 Data,
,,Level 1 - Stage 1 - GCS - Common Area Data - MDR 1.20 - 6 Data,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,GCS,Common Area Data,MDR 1.20 - 6 Data,
,,Level 1 - Stage 1 - GCS - Common Area Data - Nurse Station 1.19 - 6 Data,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,GCS,Common Area Data,Nurse Station 1.19 - 6 Data,
,,Level 1 - Stage 1 - GCS - Common Area Data - Electrical Board - 4 Data,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,GCS,Common Area Data,Electrical Board - 4 Data,
,,Level 1 - Stage 1 - GCS - Common Area Data - DB CBD 1.08 - 2 Data,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,GCS,Common Area Data,DB CBD 1.08 - 2 Data,
,,Level 1 - Stage 1 - GCS - Common Area Data - Lift 1.05 - 1 Data,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,GCS,Common Area Data,Lift 1.05 - 1 Data,
,,Level 1 - Stage 1 - GCS - WIFI - OUTSIDE ROOM 1.03 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,GCS,WIFI,OUTSIDE ROOM 1.03 - WIFI,
,,Level 1 - Stage 1 - GCS - WIFI - OUTSIDE ROOM 1.12 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,GCS,WIFI,OUTSIDE ROOM 1.12 - WIFI,
,,Level 1 - Stage 1 - GCS - WIFI - OUTSIDE ROOM 1.15 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,GCS,WIFI,OUTSIDE ROOM 1.15 - WIFI,
,,Level 1 - Stage 1 - GCS - Service areas - Services (Riser),,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 1,GCS,Service areas,Services (Riser),
,,Level 1 - Stage 2 - PERS - Common areas - Dinning 1.26,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 2,PERS,Common areas,Dinning 1.26,
,,Level 1 - Stage 2 - PERS - Rooms - Room 1.30,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 2,PERS,Rooms,Room 1.30,
,,Level 1 - Stage 2 - PERS - Rooms - Room 1.31,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 2,PERS,Rooms,Room 1.31,
,,Level 1 - Stage 2 - PERS - Displays - Display 9 CIRC 1.29 DF,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 2,PERS,Displays,Display 9 CIRC 1.29 DF,
,,Level 1 - Stage 2 - GCS - Common Area Data - Kitchen 1.28 - Data,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 2,GCS,Common Area Data,Kitchen 1.28 - Data,
,,Level 1 - Stage 2 - GCS - WIFI - CIRC 1.29 - WIFI,,Site QA,Pohutukawa Care Building,Commissioning,Level 1,Stage 2,GCS,WIFI,CIRC 1.29 - WIFI,
