"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2969c12f-b90a-5eec-a836-5d63a70f9d3b","","checklist-flat","work-in-progress","Project Details","checklist-flat","FALSE","FALSE","Project Details"
"6d506d64-3a3f-499a-b827-4fc9eba80496","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"
"b308d7fd-41bc-44a8-a85b-876f26c11280","","folder-normal","pass","","step","TRUE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","LAU to UT1 Cable Runs"
"fc6c51ad-bb44-4e84-8e7f-d226fcc6da4e","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","LAU to UT1 Cable Runs","LAU POWER 1st Set  Checklist"
"b6c8f26e-208a-40b1-bb27-a9eccf8366d5","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","LAU to UT1 Cable Runs","LAU POWER 2nd Set  Checklist"
"4c7d0960-eee9-46c6-90b4-a285b5df4852","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","LAU to UT1 Cable Runs","LAU UPS Checklist"
"ef57425a-3a63-4957-b8cc-846eb4cfa404","","checklist-flat","pass","Electrical Services – LV Cable Install, Terminations & Testing","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","LAU to UT1 Cable Runs","LAU POWER  – LV Cable Install, Terminations & Testing"
"64c10493-1ce4-415d-870a-4860405e6224","","checklist-flat","pass","Electrical Services – LV Cable Install, Terminations & Testing","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","LAU to UT1 Cable Runs","LAU UPS – LV Cable Install, Terminations & Testing"
"ce1a608e-b71f-4148-ac2d-2ebbc382b146","","folder-normal","pass","","step","TRUE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to UT1 Cable Runs"
"be4ec063-cb37-474f-a7b7-bcb027eab928","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to UT1 Cable Runs","KIT POWER 1st Set  Checklist"
"642231d4-0ac3-4c12-8ce8-bfb176fffad0","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to UT1 Cable Runs","KIT POWER 2nd Set Checklist"
"653c274b-51ec-44e3-972d-ca1ef93f873c","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to UT1 Cable Runs","KIT POWER 3rd Set Checklist"
"896c6a60-faaa-4c68-a063-de012f2a0597","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to UT1 Cable Runs","KIT POWER 4th Set Checklist"
"2eb82fc9-6c75-4786-8156-24917dbf0b2c","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to UT1 Cable Runs","KIT POWER 5th Set Checklist"
"9aebfa31-b091-4aee-bfd9-bff5561ca06f","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to UT1 Cable Runs","KIT UPS Checklist"
"904241bf-5a88-443b-825f-dd2780cd310a","","checklist-flat","pass","Electrical Services – LV Cable Install, Terminations & Testing","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to UT1 Cable Runs","KIT POWER  – LV Cable Install, Terminations & Testing"
"173c018d-32b5-4523-ad98-1648bd22ab2c","","checklist-flat","pass","Electrical Services – LV Cable Install, Terminations & Testing","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to UT1 Cable Runs","KIT UPS – LV Cable Install, Terminations & Testing"
"1117a1d3-be6c-49c4-b9c3-67505acb7284","","folder-normal","pass","","step","TRUE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","Sewer  Pump South to UT1 Cable Run"
"6e71f905-2c62-4a2f-bc97-8f929b73e81d","","checklist-flat","pass","Electrical Services – LV Cable Install, Terminations & Testing","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","Sewer  Pump South to UT1 Cable Run","Sewer Pump South POWER – LV Cable Install, Terminations & Testing"
"1d300e52-29ea-467f-b725-10ba26e68589","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","Sewer  Pump South to UT1 Cable Run","Sewer Pump South to UT1 Cable Run"
"3dcc9a7e-c494-4f25-9c98-bc45d8490254","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to FM3 Cable Runs"
"eba651dd-d558-4a13-ac09-f4b1cfaf7eb3","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to FM3 Cable Runs","FM3 POWER Checklist"
"4bbb072a-c870-4bec-aea9-4acfe47ea63c","","checklist-flat","work-in-progress","Electrical Services – LV Cable Install, Terminations & Testing","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to FM3 Cable Runs","FM3 Power – LV Cable Install, Terminations & Testing"
"e46415f4-1f27-40f3-9dd1-45988179a783","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to IND Cable Runs"
"a1314e66-d800-4228-80bf-727bd0944e9d","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to IND Cable Runs","IND POWER 1st Set Checklist"
"480a3a85-370e-4afc-adee-939915ee3004","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to IND Cable Runs","IND POWER 2nd Set Checklist"
"5c8518d7-1b33-4d66-964e-8ed0d4b82d40","","checklist-flat","work-in-progress","Electrical Services – LV Cable Install, Terminations & Testing","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to IND Cable Runs","IND POWER – LV Cable Install, Terminations & Testing"
"bbca341d-60a3-46f8-8dde-b33bcc6bd912","","folder-normal","pass","","step","TRUE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","IND UPS to UT1 Cable Run"
"3ade4225-22fb-4b93-a74b-212d42a97eb6","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","IND UPS to UT1 Cable Run","IND UPS Checklist"
"e98b1685-b06e-4666-8bff-3c33874d54e2","","checklist-flat","pass","Electrical Services – LV Cable Install, Terminations & Testing","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","IND UPS to UT1 Cable Run","IND UPS– LV Cable Install, Terminations & Testing"
"b4d9cc6f-1ffb-4db8-a48c-5f5a91b9d021","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to WAS Cable Run"
"43459d68-7c61-45bb-aa98-5a4c3ee286ea","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to WAS Cable Run","WAS POWER Checklist"
"51b3973d-76f0-44d2-92b2-492727ab7372","","checklist-flat","work-in-progress","Electrical Services – LV Cable Install, Terminations & Testing","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to WAS Cable Run","WAS POWER – LV Cable Install, Terminations & Testing"
"04e4b5cb-e5c8-41fd-90b5-0570ae191327","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","WAS UPS to UT1 Cable Run"
"7f8d4752-5534-4403-b528-43008328471a","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","WAS UPS to UT1 Cable Run","WAS UPS Checklist"
"86a10e30-00c1-4892-98d2-d4b56b6e588f","","checklist-flat","work-in-progress","Electrical Services – LV Cable Install, Terminations & Testing","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","WAS UPS to UT1 Cable Run","WAS UPS – LV Cable Install, Terminations & Testing"
"4e3a067d-8e22-4929-8f03-fa62da4c3bbc","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to HR1 Cable Runs"
"31f7c59e-1b0f-43a8-9f95-3dfa9233bc55","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to HR1 Cable Runs","HR1 Power Checklist"
"9132acf8-19f0-40c0-b775-742f1eef8382","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to HR1 Cable Runs","HR1 UPS Checklist"
"9aa895f5-1a37-4d4e-9827-397e52051924","","checklist-flat","work-in-progress","Electrical Services – LV Cable Install, Terminations & Testing","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to HR1 Cable Runs","HR1 POWER – LV Cable Install, Terminations & Testing"
"44380d2e-17e5-4775-8e7f-748fdd127854","","checklist-flat","work-in-progress","Electrical Services – LV Cable Install, Terminations & Testing","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to HR1 Cable Runs","HR1 UPS– LV Cable Install, Terminations & Testing"
"44a38286-fa86-4e95-9267-7d30cedaa61e","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","HR1 to HR2 Cable Run"
"ca5b4ed4-bfb7-4690-b069-faba23e7f673","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","HR1 to HR2 Cable Run","HR2 POWER Checklist"
"cef6c065-8f9a-4aa6-aabe-3c905c73d809","","checklist-flat","work-in-progress","Electrical Services – LV Cable Install, Terminations & Testing","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","HR1 to HR2 Cable Run","HR2 POWER – LV Cable Install, Terminations & Testing"
"ea9eb1d2-7886-45e6-9907-84c6267013fc","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to HR2 UPS Cable Run"
"e748edce-a4c8-433f-856d-f422f2d12f7c","","checklist-flat","pass","LV Installation","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to HR2 UPS Cable Run","HR2 UPS Checklist"
"db0db344-b15c-4891-9ed8-6f8f8b2bb8b6","","checklist-flat","work-in-progress","Electrical Services – LV Cable Install, Terminations & Testing","checklist-flat","FALSE","FALSE","QA - Electrical Inspections ","LV Installation Direct Bury","KIT to HR2 UPS Cable Run","HR2 UPS – LV Cable Install, Terminations & Testing"
"273377ab-ccd3-48c1-8028-8bc53e1730ce","","folder-normal","not-started","","step","TRUE","FALSE","QA - Electrical Inspections ","MSB-3 & EV Charging Infrastructure"
"97177509-c3c8-4356-b81b-72940cc46ae9","","checklist-sectioned","not-started","AES-NZ1005-STE-ITP-PMT-0030 - EV Charging","checklist","FALSE","FALSE","QA - Electrical Inspections ","MSB-3 & EV Charging Infrastructure","AES-NZ1005-STE-ITP-PMT-0030 - EV Charging"
"b7a485b8-7a29-4784-8051-ca1c0453e5e9","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Micro Duct Installation"
"5785bfa0-f608-4842-9ef2-c1cfd47e20d1","","folder-normal","pass","","step","TRUE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet"
"8328229d-0065-49f5-8b17-da88e2363161","","folder-normal","pass","","step","TRUE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","MD Primary & Diverse"
"a69f7b20-cf7f-4a18-b35b-8996751bdb9a","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","MD Primary & Diverse","OPS to DCU - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"4f953ea7-ee55-4cf7-bf8b-a0861e666361","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","MD Primary & Diverse","GHS to DCU - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"e6688d3c-adbd-4f0b-9cd9-a73554ac93d0","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","MD Primary & Diverse","OPS to A02 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"a6a822a2-08f0-4d1e-8a14-a9da8f530d08","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","MD Primary & Diverse","GHS to A02 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"4345bb34-1303-41e3-8dd8-4cd9462ba233","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","MD Primary & Diverse","OPS to SPO - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"248a8df9-e744-40b1-9d39-5e497c1806ee","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","MD Primary & Diverse","GHS to SPO - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"121a9fbd-0f1d-4123-9baf-6f4c6005bbf4","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","MD Primary & Diverse","OPS to A03 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"c13f1097-d981-4998-8f43-a967800b7569","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","MD Primary & Diverse","GHS to A03 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"ad318a7a-edb2-4300-9159-c45f40bc3d2a","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","MD Primary & Diverse","OPS to HR1 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"72141266-9fe2-4045-8dd7-b37524d66e4c","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","MD Primary & Diverse","GHS to HR1 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"739368a2-e0e3-4698-9854-8fe9aa36b3eb","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","MD Primary & Diverse","OPS to HR2 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"f1d5028d-6fa8-4983-ae66-77d4d60071a9","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","MD Primary & Diverse","GHS to HR2 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"f41f8f86-9567-41b6-829b-582b4068e63f","","folder-normal","pass","","step","TRUE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","Fire Fibre"
"8f6baa30-a815-413c-a4cc-f62db0f9bdd7","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","Fire Fibre","HR1 to HR2 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"874158f1-116d-43ff-8166-2f58d28bf9e3","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","Fire Fibre","WAS to HR1 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"150d6d5d-f90a-40b0-91d8-65ed1d93b806","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","Fire Fibre","HR2 to A03 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"11fe4cc4-28f4-438f-927d-94867a0374db","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 1 - Check Sheet","Fire Fibre","A03 to SPO - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"926e21c3-d1eb-4949-b019-ed710e8317e9","","folder-normal","pass","","step","TRUE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet"
"1d6a3b96-9c70-482e-95c5-86d05151b024","","folder-normal","pass","","step","TRUE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","MD Primary & Diverse"
"85abe1a2-93b9-419b-a786-3fb42edf1576","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","MD Primary & Diverse","OPS to GHS (Primary 12T) - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"fb5de0a5-734c-4f4f-a5b9-96025046b3dd","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","MD Primary & Diverse","OPS to GHS (Diverse 12T) - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"73c45db6-baed-47ef-9f4b-a0892ab270d6","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","MD Primary & Diverse","GHS to MSU - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"cb75acb5-864e-4194-bfcd-071225507fc8","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","MD Primary & Diverse","GHS to VIS - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"f9451ef0-8944-414c-bfeb-c13a0a356cb6","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","MD Primary & Diverse","OPS to VIS - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"b7d4c9f9-a594-40c7-b3b4-0d98f4f43aa5","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","MD Primary & Diverse","OPS to MSU - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"b886bba0-abac-44fd-93b7-b2f75919bbc9","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","MD Primary & Diverse","FC (MSU) to OPS - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"c7976b0a-7592-4046-b21a-caa9e5341c4b","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","MD Primary & Diverse","FC (MSU) to GHS - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"39f736ca-bc83-4cd9-8a29-8678b32d1845","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","MD Primary & Diverse","FC (SPO) to OPS - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"8130bbaf-2a20-4175-b53c-fbbc84967468","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","MD Primary & Diverse","FC (SPO) to GHS - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"b211e29b-d5da-4d96-ba37-77fc01214424","","folder-normal","pass","","step","TRUE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","Fire Fibre"
"8ca2d9da-4fcb-409d-9ce1-ff2dd30583c4","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","Fire Fibre","A02 to SPO - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"5a152563-2398-4c9c-93df-eeb0e5875943","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","Fire Fibre","A02 to VIS - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"c3591910-da41-43e5-92f6-607e73a802f7","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","Fire Fibre","HRO to PRO - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"4dd47ea4-4a95-455e-8cdc-b8c16aabbcad","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","Fire Fibre","HRO to MH1 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"902a49af-92ae-4f36-8aa8-7f04c2fbece5","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","Fire Fibre","MSU to GHS/UT1 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"517996a6-9e0c-42de-882c-4084cc77c655","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","Fire Fibre","VIS to MSU - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"2ed32b93-6391-43cd-b9ab-5257a19ce05b","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 2 - Check Sheet","Fire Fibre","MH1 to FM1 - AES-NZ1005-STE-ITP-PMT-0009"
"bd11fe8e-70e6-49ad-b278-2bdac7e60c50","","folder-normal","pass","","step","TRUE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet"
"c9681ad2-b93a-47ca-93c3-559eee91cc50","","folder-normal","pass","","step","TRUE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet","MD Primary & Diverse"
"090a9599-4ebc-4c0d-ab73-c55d3227365e","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet","MD Primary & Diverse","GHS to MH1 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"b4414840-eecd-4d05-b739-f4a3582d51de","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet","MD Primary & Diverse","OPS to MH1 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"a41c859c-8a78-4b85-a22a-90831f39fda4","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet","MD Primary & Diverse","GHS to MH2 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"dec62e13-13b4-4887-acb8-f31d7fabc6e9","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet","MD Primary & Diverse","OPS to MH2 - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"5ad868d3-95cf-4f5f-bf0c-aed60a80d8da","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet","MD Primary & Diverse","GHS to HRO - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"fe205c0f-cac2-47af-bdb4-be04ce9e30ac","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet","MD Primary & Diverse","OPS to HRO - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"a1fec047-5400-4953-94a5-f4b165393ccc","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet","MD Primary & Diverse","FC (MH1) to OPS - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"5462a8e1-b6a6-47e5-aed1-4dc5c5a7d9d3","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet","MD Primary & Diverse","FC (MH2) to GHS - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"b3e86c8d-e539-48c7-845c-9409e99a5146","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet","MD Primary & Diverse","FC (MH2) to OPS - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"a5335a4c-6f48-48d1-ac44-e2a7c35f437e","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet","MD Primary & Diverse","FC (MH1) to GHS - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"5edda6eb-c4c9-4d89-8e4f-8a1a23040e05","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet","MD Primary & Diverse","FC (HRO) to OPS - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"1c59963d-eb9a-4bf1-8235-8dcdc5999129","","checklist-flat","pass","Communications In-Ground Conduits & Cable Pits","checklist-flat","FALSE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet","MD Primary & Diverse","FC (HRO) to GHS - Check Sheet 100% Complete - AES-NZ1005-STE-ITP-PMT-0009"
"71afa1a2-9d76-4343-a581-d5531ba2a9e2","","folder-normal","pass","","step","TRUE","FALSE","QA - Micro Duct Installation","Stage 3 - Check Sheet","Fire Fibre"
